trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
142,False,"{'a': 0.5, 'e': 0.2399924795841344}",25,0,-9.284268669715013,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,2,17.965829252086476,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23521662924041012}",20,5,-20.530308901035884,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",30,0,-68.1767344211148,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",25,9,-36.22940004404893,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",25,11,-64.86639196277336,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,0,-8.18925806311959,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.2236886739786474}",30,17,-50.8481210722921,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886091}",20,0,6.57459458087342,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.2192372693664723}",30,0,-26.07560982887395,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.21704489667280757}",25,0,18.446228335085515,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.2148744477060795}",20,1,13.667712483002296,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.2127257032290187}",20,0,-7.452621522408127,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.21059844619672852}",25,0,2.1393054543610486,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.20849246173476124}",25,0,19.735612058663833,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.2064075371174136}",30,0,20.697356369228984,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.20434346174623946}",20,0,-15.330334020662121,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.2023000271287771}",25,0,-29.2532489558724,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.20027702685748933}",25,8,-17.80138339430913,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891443}",30,0,-23.474851438686464,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.19629151402302528}",20,0,3.956637757878494,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.19432859888279502}",20,0,22.666235643889273,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.19238531289396707}",20,0,-4.11384501286609,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.1904614597650274}",25,0,13.296619824072938,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.1885568451673771}",25,0,21.636950176200983,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",30,13,26.667739907141932,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1848045639485463}",20,6,-27.657612282012124,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906084}",30,18,12.26537008956511,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597024}",25,0,-3.631872998552673,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.17931568359471053}",35,0,38.953073665658735,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876343}",20,0,17.519299129343356,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.1757473014911758}",20,0,19.163764954581517,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.17398982847626404}",25,16,17.230878037780545,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.1722499301915014}",20,0,17.58868484138578,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
